state_territory,age_group,n_studying,population,prop_studying
ACT,15_19,19.3,23.8,0.8109243697478992
ACT,20_24,18.1,31.6,0.5727848101265823
ACT,25_29,9.4,34.9,0.2693409742120344
ACT,30_34,4.5,32.8,0.13719512195121952
ACT,35_39,4.5,28.7,0.15679442508710803
ACT,40_44,2.6,28.4,0.09154929577464788
ACT,45_49,1,24.2,0.04132231404958678
ACT,50_54,3,24,0.125
ACT,55_74,2.1,67.2,0.03125
NSW,15_19,388.1,461.6,0.8407712305025996
NSW,20_24,231.1,507.9,0.45501082890332745
NSW,25_29,105.7,535.1,0.19753317136983745
NSW,30_34,66.3,534.2,0.12411081991763384
NSW,35_39,53.4,496,0.10766129032258064
NSW,40_44,40.9,523.8,0.07808323787705232
NSW,45_49,33.5,482.3,0.0694588430437487
NSW,50_54,22,499.6,0.04403522818254603
NSW,55_74,25.7,1490.6,0.01724137931034482
NT,15_19,11.2,15.4,0.7272727272727272
NT,20_24,4.2,16.3,0.25766871165644173
NT,25_29,3.5,20.1,0.17412935323383083
NT,30_34,2.3,20,0.115
NT,35_39,1.8,17.2,0.10465116279069768
NT,40_44,2.4,17,0.1411764705882353
NT,45_49,1,15.1,0.06622516556291391
NT,50_54,0.5,14.7,0.03401360544217687
NT,55_74,0.7,34,0.02058823529411764
Qld,15_19,234.5,305.8,0.7668410725964683
Qld,20_24,110.7,331.4,0.33403741701870854
Qld,25_29,58,342.1,0.16954106986261325
Qld,30_34,38.2,329.5,0.11593323216995448
Qld,35_39,32.5,310.5,0.10466988727858294
Qld,40_44,26.2,337.2,0.07769869513641756
Qld,45_49,18.6,308,0.06038961038961039
Qld,50_54,12.2,314.6,0.03877940241576604
Qld,55_74,14.5,912.9,0.0158834483514076
SA,15_19,83.3,100.4,0.8296812749003983
SA,20_24,50.2,112.9,0.4446412754650133
SA,25_29,23,115.2,0.19965277777777776
SA,30_34,13.9,109.8,0.1265938069216758
SA,35_39,13.7,103.2,0.1327519379844961
SA,40_44,6.9,113.7,0.06068601583113457
SA,45_49,11,112,0.09821428571428573
SA,50_54,6.2,116.4,0.05326460481099656
SA,55_74,9.9,361.7,0.02737074923970141
Tas.,15_19,28.5,33.1,0.8610271903323262
Tas.,20_24,10.6,31.8,0.3333333333333333
Tas.,25_29,4.6,29.1,0.15807560137457044
Tas.,30_34,2.8,29.3,0.0955631399317406
Tas.,35_39,3.4,29.3,0.11604095563139932
Tas.,40_44,4.8,34.1,0.1407624633431085
Tas.,45_49,2,34.2,0.05847953216374269
Tas.,50_54,2.5,37.7,0.0663129973474801
Tas.,55_74,1.2,121.4,0.00988467874794069
Vic.,15_19,309.6,357.1,0.8669840380845701
Vic.,20_24,199.5,413.6,0.4823500967117988
Vic.,25_29,96.3,448.9,0.2145243929605703
Vic.,30_34,46.7,438.5,0.1064994298745724
Vic.,35_39,31.3,394,0.07944162436548223
Vic.,40_44,30.7,416.5,0.07370948379351741
Vic.,45_49,14.9,383,0.03890339425587467
Vic.,50_54,17.5,379.1,0.04616196254286468
Vic.,55_74,17.4,1114.8,0.01560818083961248
WA,15_19,118.7,159.3,0.7451349654739485
WA,20_24,61.9,185.8,0.3331539289558665
WA,25_29,39.2,219.1,0.17891373801916935
WA,30_34,23.1,201.3,0.11475409836065574
WA,35_39,16.2,176.2,0.09194097616345062
WA,40_44,11.9,186.9,0.06367041198501873
WA,45_49,10.3,171.7,0.05998835177635411
WA,50_54,9.1,169.7,0.05362404242781379
WA,55_74,6,466,0.01287553648068669
