state_territory,age_group,n_studying,population,prop_studying
ACT,15_19,21,24.7,0.8502024291497976
ACT,20_24,16.8,34.2,0.49122807017543857
ACT,25_29,6.6,35.3,0.18696883852691215
ACT,30_34,5.1,34.4,0.14825581395348836
ACT,35_39,3.2,33.9,0.0943952802359882
ACT,40_44,2.9,29.4,0.09863945578231292
ACT,45_49,2.3,28.5,0.0807017543859649
ACT,50_54,1.3,23.9,0.05439330543933055
ACT,55_74,1.4,75.8,0.01846965699208443
NSW,15_19,400.3,473.7,0.8450496094574625
NSW,20_24,275.1,558.2,0.4928341096381225
NSW,25_29,121.4,609,0.19934318555008212
NSW,30_34,65.5,599,0.10934891485809682
NSW,35_39,60,564.8,0.10623229461756374
NSW,40_44,37.7,504.8,0.07468304278922346
NSW,45_49,29.3,525.8,0.05572461011791556
NSW,50_54,20.4,477.5,0.04272251308900523
NSW,55_74,22.4,1664.1,0.01346072952346613
NT,15_19,8.199999999999998,12.9,0.635658914728682
NT,20_24,3,11.7,0.25641025641025644
NT,25_29,1.9,18.7,0.10160427807486631
NT,30_34,3.2,19.8,0.16161616161616163
NT,35_39,2.6,16.9,0.15384615384615383
NT,40_44,1.4,13.7,0.1021897810218978
NT,45_49,1.7,15.3,0.1111111111111111
NT,50_54,0.8,13.1,0.06106870229007634
NT,55_74,0.5,36.3,0.01377410468319559
Qld,15_19,236,312.6,0.7549584133077415
Qld,20_24,127.9,337.5,0.378962962962963
Qld,25_29,67.3,359.2,0.1873608017817372
Qld,30_34,47.8,348.3,0.13723801320700543
Qld,35_39,30.5,335.5,0.09090909090909093
Qld,40_44,34.7,315.4,0.11001902346227016
Qld,45_49,21.5,338.5,0.06351550960118169
Qld,50_54,14.8,309.5,0.04781906300484653
Qld,55_74,16.7,1031.1,0.01619629521869848
SA,15_19,89.4,102.1,0.8756121449559257
SA,20_24,50.2,116,0.4327586206896552
SA,25_29,21.4,116.4,0.1838487972508591
SA,30_34,13.8,116.5,0.1184549356223176
SA,35_39,11.3,111.8,0.10107334525939178
SA,40_44,6.1,103.3,0.0590513068731849
SA,45_49,7.8,113.5,0.06872246696035242
SA,50_54,4,109.7,0.03646308113035551
SA,55_74,6.7,398.2,0.01682571572074334
Tas.,15_19,24.6,29.9,0.8227424749163881
Tas.,20_24,12.4,31.8,0.389937106918239
Tas.,25_29,6.9,33.5,0.20597014925373136
Tas.,30_34,5,32.3,0.15479876160990713
Tas.,35_39,4.3,30.8,0.1396103896103896
Tas.,40_44,3.6,29.8,0.12080536912751678
Tas.,45_49,1.4,35.2,0.03977272727272726
Tas.,50_54,1.3,34.1,0.03812316715542522
Tas.,55_74,2.5,136.1,0.01836884643644379
Vic.,15_19,327.2,377.4,0.8669846316905141
Vic.,20_24,253.4,487.6,0.5196882690730107
Vic.,25_29,99.6,528.1,0.1886006438174588
Vic.,30_34,51.1,517.9,0.09866769646649932
Vic.,35_39,48.1,475.3,0.1011992425836314
Vic.,40_44,31.7,413,0.07675544794188861
Vic.,45_49,31.9,428.8,0.0743936567164179
Vic.,50_54,14.4,390.5,0.03687580025608195
Vic.,55_74,17.7,1286.5,0.01375825884181888
WA,15_19,126.3,155.4,0.8127413127413127
WA,20_24,75,168,0.44642857142857145
WA,25_29,37.1,184.4,0.20119305856832972
WA,30_34,23.4,203.5,0.11498771498771498
WA,35_39,17.1,191.3,0.08938839519079979
WA,40_44,12,170.8,0.0702576112412178
WA,45_49,11.6,179.5,0.06462395543175488
WA,50_54,6.9,165.3,0.04174228675136116
WA,55_74,5.2,520.7,0.00998655655847897
