state_territory,age_group,n_studying,population,prop_studying
ACT,15_19,20.5,22.7,0.9030837004405288
ACT,20_24,13.2,29.5,0.44745762711864406
ACT,25_29,10,33.2,0.3012048192771084
ACT,30_34,5.4,32.3,0.1671826625386997
ACT,35_39,4.8,28.3,0.16961130742049468
ACT,40_44,1.9,28.1,0.06761565836298931
ACT,45_49,1.9,25.3,0.07509881422924901
ACT,50_54,2.3,24.6,0.09349593495934956
ACT,55_74,0.7,68.1,0.01027900146842878
NSW,15_19,389.1,460.5,0.8449511400651466
NSW,20_24,236.3,514,0.459727626459144
NSW,25_29,92.5,544.2,0.1699742741639103
NSW,30_34,69.4,554.3,0.1252029586866318
NSW,35_39,40.1,502.8,0.07975338106603024
NSW,40_44,47.5,525.7,0.09035571618793987
NSW,45_49,30.1,486.4,0.06188322368421053
NSW,50_54,14.3,499.8,0.02861144457783113
NSW,55_74,23.3,1535.4,0.01517519864530415
NT,15_19,10.3,15.3,0.673202614379085
NT,20_24,4.1,16.4,0.25
NT,25_29,3.9,21.1,0.1848341232227488
NT,30_34,3.7,19.6,0.1887755102040816
NT,35_39,2.8,17,0.16470588235294115
NT,40_44,1.8,16.8,0.10714285714285714
NT,45_49,1.6,15.1,0.10596026490066228
NT,50_54,0.9,14.2,0.06338028169014084
NT,55_74,0.9,31.8,0.02830188679245283
Qld,15_19,225.7,303.1,0.7446387330913888
Qld,20_24,130,334.5,0.38863976083707025
Qld,25_29,67,341,0.19648093841642228
Qld,30_34,36.8,335.2,0.1097852028639618
Qld,35_39,31.1,308.7,0.1007450599287334
Qld,40_44,35.7,336.7,0.10602910602910603
Qld,45_49,18,315.3,0.05708848715509038
Qld,50_54,12.7,312.5,0.04063999999999999
Qld,55_74,14.8,933.6,0.01585261353898886
SA,15_19,88.4,104.9,0.8427073403241182
SA,20_24,52.4,113.4,0.4620811287477954
SA,25_29,22.1,115.2,0.1918402777777778
SA,30_34,23,112.4,0.20462633451957293
SA,35_39,13.1,102.5,0.1278048780487805
SA,40_44,11.4,111.9,0.10187667560321716
SA,45_49,6,114.1,0.0525854513584575
SA,50_54,4.9,115.3,0.04249783174327841
SA,55_74,4.8,369.9,0.0129764801297648
Tas.,15_19,27.6,33.9,0.8141592920353983
Tas.,20_24,10.7,31.5,0.33968253968253964
Tas.,25_29,6.3,29.3,0.21501706484641636
Tas.,30_34,3.6,29.9,0.12040133779264214
Tas.,35_39,3.1,28.4,0.1091549295774648
Tas.,40_44,3.5,33.5,0.1044776119402985
Tas.,45_49,1.7,33.7,0.05044510385756676
Tas.,50_54,2.1,37.1,0.05660377358490566
Tas.,55_74,2,124.2,0.01610305958132045
Vic.,15_19,317,354.8,0.8934611048478015
Vic.,20_24,206.8,423.8,0.487966021708353
Vic.,25_29,93.7,459.8,0.2037842540234885
Vic.,30_34,59,456.7,0.1291876505364572
Vic.,35_39,40.9,401.7,0.10181727657455812
Vic.,40_44,29.2,415.8,0.07022607022607022
Vic.,45_49,22.4,392.5,0.05707006369426751
Vic.,50_54,20.6,381.7,0.05396908566937386
Vic.,55_74,18.6,1141.8,0.0162900683131897
WA,15_19,135,163.6,0.8251833740831296
WA,20_24,66.4,185,0.35891891891891897
WA,25_29,33.8,221.1,0.15287200361827227
WA,30_34,15.3,212,0.07216981132075471
WA,35_39,16.6,181.5,0.09146005509641876
WA,40_44,18.2,187.7,0.09696323921150772
WA,45_49,11.4,177.2,0.06433408577878104
WA,50_54,5.4,169.5,0.03185840707964602
WA,55_74,5.3,481.8,0.01100041511000415
