state_territory,age_group,n_studying,population,prop_studying
ACT,15::19,20.7,22.8,0.9078947368421052
ACT,20;24,16.9,29.8,-1
ACT,25:29,9.3,34.5,0.26956521739130435
ACT,30::34,8.1,33.6,0.24107142857142855
ACT,35::39,1.9,30.4,0.0625
ACT,40:44,2.2,26.9,0.08178438661710039
ACT,45:49,2.2,26.8,0.08208955223880597
ACT,50:54,1.8,23.3,0.07725321888412016
ACT,55::74,1.3,71.9,0.01808066759388038
NSW,15;19,407.6,469.7,0.8677879497551629
NSW,20:24,254.9,539.4,0.4725621060437524
NSW,25;29,112.5,564.6,0.19925611052072265
NSW,30;34,63.1,568.5,0.11099384344766931
NSW,35:39,42.7,528.6,0.08077941732879304
NSW,40:44,30.1,504.4,0.05967486122125298
NSW,45:49,25.6,510.3,0.0501665686850872
NSW,50::54,22,484.4,0.04541701073492981
NSW,55;74,19.5,1614.7,0.01207654672694618
NT,15:19,11.5,14.3,0.8041958041958042
NT,20:24,4.7,13,0.36153846153846153
NT,25::29,2.7,16.8,-1
NT,30::34,3.2,19.2,0.16666666666666669
NT,35;39,2.1,17.2,0.12209302325581396
NT,40;44,2,14.9,0.1342281879194631
NT,45;49,1.3,15.8,0.08227848101265822
NT,50;54,0.9,14.2,0.06338028169014084
NT,55::74,0.9,34.6,0.02601156069364162
Qld,15;19,235.6,308.3,0.7641907233214401
Qld,20:24,127.4,330.4,0.3855932203389831
Qld,25::29,66.9,340.8,0.19630281690140847
Qld,30::34,41.2,337.1,0.12221892613467814
Qld,35;39,25.5,318.1,0.08016347060672743
Qld,40:44,29.8,319.3,-1
Qld,45;49,19.4,330.6,-1
Qld,50;54,11,304.2,0.03616042077580539
Qld,55;74,12.1,984.5,0.01229050279329608
SA,15:19,87.3,104,0.8394230769230769
SA,20;24,47,111.8,0.4203935599284437
SA,25;29,22,113.9,0.19315188762071991
SA,30;34,12.7,115.4,0.11005199306759098
SA,35:39,11.2,104.6,0.10707456978967494
SA,40::44,10.4,104.4,0.09961685823754789
SA,45::49,8.4,116.1,0.0723514211886305
SA,50:54,6.3,111.7,0.05640107430617726
SA,55::74,4.4,383.9,0.01146131805157593
Tas.,15;19,26,32.4,0.8024691358024691
Tas.,20:24,10.7,32.5,0.3292307692307692
Tas.,25:29,5.2,29.4,0.17687074829931973
Tas.,30:34,3.1,29.6,-1
Tas.,35:39,3.6,29,0.12413793103448276
Tas.,40:44,3,30.8,0.0974025974025974
Tas.,45;49,1.7,35.2,0.04829545454545454
Tas.,50::54,1.1,35.3,0.0311614730878187
Tas.,55:74,2.6,130.4,0.01993865030674846
Vic.,15:19,321.9,368.6,0.8733043950081388
Vic.,20:24,214.5,448.6,0.47815425769059294
Vic.,25::29,85.4,478.6,0.17843710823234435
Vic.,30:34,41.3,478.4,0.08632943143812709
Vic.,35:39,39.1,431.7,-1
Vic.,40;44,27,406.5,0.06642066420664207
Vic.,45;49,25.7,414,0.06207729468599034
Vic.,50;54,15.5,380.7,0.04071447333858681
Vic.,55::74,15.6,1213.8,0.01285219970341077
WA,15::19,125.5,155,0.8096774193548387
WA,20;24,68.2,177.9,0.38336143901068015
WA,25:29,41.8,200.5,0.2084788029925187
WA,30:34,18.2,208.4,0.0873320537428023
WA,35;39,18.2,184.1,0.0988593155893536
WA,40::44,17.8,174.9,0.1017724413950829
WA,45::49,8.6,181.3,0.04743519029233314
WA,50::54,4.5,167.5,-1
WA,55:74,6.6,504.9,0.0130718954248366
